seed_key,listing_title,description,branch_code,category_code,breed_code,breed_type,life_stage,age_months,current_weight_kg,current_size,expected_adult_size,price_per_puppy_vnd,stock,status,image_url,health_status,care_instructions
puppy_listing_hmong_coc_duoi,Chó con Chó H'Mông cộc đuôi khỏe mạnh,Lô chó con Chó H'Mông cộc đuôi được chăm sóc tại PawConnect.,BR_HCM_01,CAT_BREEDING_DOG,BREED_HMONG_COC_DUOI,PUREBRED,PUPPY,6,9.4,MEDIUM,MEDIUM,5550000,7,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_pomeranian,Chó con Pomeranian khỏe mạnh,Lô chó con Pomeranian được chăm sóc tại PawConnect.,BR_HN_01,CAT_BREEDING_DOG,BREED_POMERANIAN,PUREBRED,PUPPY,5,0.8,SMALL,SMALL,6600000,3,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_corgi,Chó con Corgi khỏe mạnh,Lô chó con Corgi được chăm sóc tại PawConnect.,BR_DN_01,CAT_BREEDING_DOG,BREED_CORGI,PUREBRED,PUPPY,3,2.7,SMALL,MEDIUM,9100000,17,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_shiba_inu,Chó con Shiba Inu khỏe mạnh,Lô chó con Shiba Inu được chăm sóc tại PawConnect.,BR_HCM_01,CAT_BREEDING_DOG,BREED_SHIBA_INU,PUREBRED,PUPPY,8,6.3,MEDIUM,MEDIUM,10100000,16,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_golden_retriever,Chó con Golden Retriever khỏe mạnh,Lô chó con Golden Retriever được chăm sóc tại PawConnect.,BR_HN_01,CAT_BREEDING_DOG,BREED_GOLDEN_RETRIEVER,PUREBRED,PUPPY,4,6.7,SMALL,LARGE,10550000,6,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_labrador_retriever,Chó con Labrador Retriever khỏe mạnh,Lô chó con Labrador Retriever được chăm sóc tại PawConnect.,BR_DN_01,CAT_BREEDING_DOG,BREED_LABRADOR_RETRIEVER,PUREBRED,PUPPY,4,5.8,SMALL,LARGE,9600000,11,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_husky_siberian,Chó con Husky Siberian khỏe mạnh,Lô chó con Husky Siberian được chăm sóc tại PawConnect.,BR_HCM_01,CAT_BREEDING_DOG,BREED_HUSKY_SIBERIAN,PUREBRED,PUPPY,8,10.5,MEDIUM,LARGE,8650000,3,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_samoyed,Chó con Samoyed khỏe mạnh,Lô chó con Samoyed được chăm sóc tại PawConnect.,BR_HN_01,CAT_BREEDING_DOG,BREED_SAMOYED,PUREBRED,PUPPY,4,3.8,SMALL,LARGE,10250000,15,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_alaskan_malamute,Chó con Alaskan Malamute khỏe mạnh,Lô chó con Alaskan Malamute được chăm sóc tại PawConnect.,BR_DN_01,CAT_BREEDING_DOG,BREED_ALASKAN_MALAMUTE,PUREBRED,PUPPY,5,10.3,SMALL,LARGE,14150000,1,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
puppy_listing_beagle,Chó con Beagle khỏe mạnh,Lô chó con Beagle được chăm sóc tại PawConnect.,BR_HCM_01,CAT_BREEDING_DOG,BREED_BEAGLE,PUREBRED,PUPPY,4,3.8,SMALL,MEDIUM,8100000,17,AVAILABLE,,Đã kiểm tra sức khỏe cơ bản,Theo dõi dinh dưỡng và lịch tiêm phòng phù hợp.
