seed_key,breed_code,breed_name,default_size,min_weight_kg,max_weight_kg,min_age_months,max_age_months,description
breed_poodle,BREED_POODLE,Poodle,SMALL,3,8,12,144,Giống chó nhỏ thông minh phù hợp dữ liệu demo chăm sóc và nhận nuôi.
breed_chihuahua,BREED_CHIHUAHUA,Chihuahua,SMALL,1,3,12,144,Giống chó rất nhỏ lanh lợi phù hợp hồ sơ demo kích cỡ nhỏ.
breed_pug,BREED_PUG,Pug,SMALL,6,10,12,144,Giống chó nhỏ thân thiện phù hợp dữ liệu demo gia đình.
breed_corgi,BREED_CORGI,Corgi,MEDIUM,10,14,12,144,Giống chó cỡ vừa năng động phù hợp demo sản phẩm và nhận nuôi.
breed_shiba_inu,BREED_SHIBA_INU,Shiba Inu,MEDIUM,8,12,12,144,Giống chó cỡ vừa độc lập phù hợp hồ sơ demo trung tính.
breed_beagle,BREED_BEAGLE,Beagle,MEDIUM,9,15,12,144,Giống chó cỡ vừa hiếu động phù hợp dữ liệu demo đa trạng thái.
breed_phu_quoc,BREED_PHU_QUOC,Chó Phú Quốc,MEDIUM,12,20,12,144,Giống chó Việt Nam nhanh nhẹn phù hợp catalog demo nội bộ.
breed_french_bulldog,BREED_FRENCH_BULLDOG,French Bulldog,SMALL,8,14,12,144,Giống chó nhỏ đến vừa thân thiện phù hợp dữ liệu demo chăm sóc.
breed_husky_siberian,BREED_HUSKY_SIBERIAN,Husky Siberian,LARGE,16,27,18,144,Giống chó lớn năng động phù hợp demo lọc theo kích cỡ lớn.
breed_alaskan_malamute,BREED_ALASKAN_MALAMUTE,Alaskan Malamute,LARGE,32,43,18,144,Giống chó lớn khỏe phù hợp dữ liệu demo cần khoảng cân nặng cao.
breed_golden_retriever,BREED_GOLDEN_RETRIEVER,Golden Retriever,LARGE,25,34,18,144,Giống chó lớn thân thiện phù hợp demo gia đình và dịch vụ.
breed_labrador_retriever,BREED_LABRADOR_RETRIEVER,Labrador Retriever,LARGE,25,36,18,144,Giống chó lớn dễ huấn luyện phù hợp catalog demo chung.
