seed_key,name,breed,size,age_months,weight_kg,gender,vaccination_status,image_url,description,branch_code
dog_gen_poodle,Mochi,Poodle,SMALL,74,4,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mochi+1,Ho so demo cho Poodle phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_chihuahua,Bingo,Chihuahua,SMALL,102,1,FEMALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bingo+2,Ho so demo cho Chihuahua phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_pug,Nori,Pug,SMALL,60,9,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Nori+3,Ho so demo cho Pug phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_corgi,Bim,Corgi,MEDIUM,101,12,FEMALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bim+4,Ho so demo cho Corgi phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_shiba_inu,Susu,Shiba Inu,MEDIUM,15,9,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Susu+5,Ho so demo cho Shiba Inu phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_beagle,Ken,Beagle,MEDIUM,135,9,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Ken+6,Ho so demo cho Beagle phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_phu_quoc,Mika,Chó Phú Quốc,MEDIUM,141,15,MALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Mika+7,Ho so demo cho Chó Phú Quốc phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_french_bulldog,Bo,French Bulldog,SMALL,117,11,FEMALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bo+8,Ho so demo cho French Bulldog phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_husky_siberian,Toto,Husky Siberian,LARGE,129,25,MALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Toto+9,Ho so demo cho Husky Siberian phuc vu luong nhan nuoi PawConnect.,BR_DN_01
dog_gen_alaskan_malamute,Nana,Alaskan Malamute,LARGE,130,35,FEMALE,FULLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Nana+10,Ho so demo cho Alaskan Malamute phuc vu luong nhan nuoi PawConnect.,BR_HCM_01
dog_gen_golden_retriever,Rin,Golden Retriever,LARGE,46,31,MALE,NOT_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Rin+11,Ho so demo cho Golden Retriever phuc vu luong nhan nuoi PawConnect.,BR_HN_01
dog_gen_labrador_retriever,Bun,Labrador Retriever,LARGE,108,31,FEMALE,PARTIALLY_VACCINATED,https://placehold.co/800x600/png?text=PawConnect+Bun+12,Ho so demo cho Labrador Retriever phuc vu luong nhan nuoi PawConnect.,BR_DN_01
