breed_code,min_price_per_puppy_vnd,default_price_per_puppy_vnd,max_price_per_puppy_vnd,min_age_months,max_age_months,min_stock,max_stock,review_status
BREED_HMONG_COC_DUOI,5500000,7000000,9000000,2,8,1,20,APPROVED
BREED_POMERANIAN,4000000,5500000,7000000,2,8,1,20,APPROVED
BREED_CORGI,7000000,8500000,11000000,2,8,1,20,APPROVED
BREED_SHIBA_INU,8000000,10000000,13000000,2,8,1,20,APPROVED
BREED_GOLDEN_RETRIEVER,7500000,9500000,12000000,2,8,1,20,APPROVED
BREED_LABRADOR_RETRIEVER,7000000,8500000,11000000,2,8,1,20,APPROVED
BREED_HUSKY_SIBERIAN,8500000,10500000,13500000,2,8,1,20,APPROVED
BREED_SAMOYED,10000000,12500000,16000000,2,8,1,20,APPROVED
BREED_ALASKAN_MALAMUTE,10000000,12500000,16000000,2,8,1,20,APPROVED
BREED_BEAGLE,5000000,6500000,8500000,2,8,1,20,APPROVED
BREED_FRENCH_BULLDOG,6500000,8500000,11000000,2,8,1,20,APPROVED
BREED_POODLE,2000000,3500000,5500000,2,8,1,20,APPROVED
BREED_CHIHUAHUA,4000000,5500000,7000000,2,8,1,20,APPROVED
BREED_PUG,4000000,5000000,6500000,2,8,1,20,APPROVED
